system,target_error_rate,rho,N_runs,RepresentationErrorMean,AccuracyMean,AccuracySD,UnauthorizedDisclosureMean,BranchContaminationMean,FalseConsensusMean
NCM-Psi,0.0,0.0,20,0.0,0.9949999999999999,0.0,0.0,0.0,0.005
ScopedSlots,0.0,0.0,20,0.0,0.60125,0.0,0.5522388059701493,0.0,0.33375
NCM-Psi,0.01,0.0,20,0.009976247030878859,0.9929375,0.0014208851022106954,0.0014925373134328358,0.000125,0.0059375
ScopedSlots,0.01,0.0,20,0.009976247030878859,0.5998125,0.0015850348659622,0.5541044776119403,0.0005625,0.3343125
NCM-Psi,0.05,0.0,20,0.0454473475851148,0.9776875,0.006127416279571513,0.010447761194029851,0.004625,0.016875
ScopedSlots,0.05,0.0,20,0.0454473475851148,0.59575,0.003329493402274492,0.5656716417910448,0.002375,0.33606250000000004
NCM-Psi,0.1,0.0,20,0.0935471100554236,0.9640625,0.010394164291360298,0.023507462686567164,0.005187499999999999,0.02275
ScopedSlots,0.1,0.0,20,0.0935471100554236,0.589125,0.006590713163232025,0.5716417910447762,0.0044375000000000005,0.3369375
NCM-Psi,0.2,0.0,20,0.19228028503562947,0.927375,0.010919110480447143,0.05559701492537313,0.012750000000000001,0.043875000000000004
ScopedSlots,0.2,0.0,20,0.19228028503562947,0.5705625000000001,0.007559794535637369,0.592910447761194,0.010499999999999999,0.3429375
NCM-Psi,0.3,0.0,20,0.2827790973871734,0.8925000000000001,0.013340184643241982,0.07947761194029851,0.0210625,0.06475
ScopedSlots,0.3,0.0,20,0.2827790973871734,0.5627500000000001,0.012338429482931084,0.6138059701492538,0.018937500000000003,0.341
NCM-Psi,0.0,0.5,20,0.0,0.9949999999999999,0.0,0.0,0.0,0.005
ScopedSlots,0.0,0.5,20,0.0,0.60125,0.0,0.5522388059701493,0.0,0.33375
NCM-Psi,0.01,0.5,20,0.010174188440221695,0.991125,0.0024299393538024503,0.004477611940298507,0.000625,0.007000000000000001
ScopedSlots,0.01,0.5,20,0.010174188440221695,0.5995625,0.0016360957216881473,0.5541044776119403,0.00043750000000000006,0.33425
NCM-Psi,0.05,0.5,20,0.04853523357086302,0.97675,0.005462190615109433,0.009701492537313432,0.0035000000000000005,0.015187500000000001
ScopedSlots,0.05,0.5,20,0.04853523357086302,0.5959375,0.004639557459613214,0.5574626865671641,0.0026875,0.3339375
NCM-Psi,0.1,0.5,20,0.09655581947743468,0.9603125,0.00684503037169841,0.02462686567164179,0.00575,0.02475
ScopedSlots,0.1,0.5,20,0.09655581947743468,0.590875,0.006231551720246336,0.5671641791044776,0.004125,0.3348125
NCM-Psi,0.2,0.5,20,0.1876880443388757,0.930625,0.010893473420259243,0.048507462686567165,0.0118125,0.0445625
ScopedSlots,0.2,0.5,20,0.1876880443388757,0.5795,0.00963477801344802,0.5761194029850747,0.010312499999999999,0.338875
NCM-Psi,0.3,0.5,20,0.28368962787015045,0.8944375000000001,0.014341207419989347,0.06082089552238805,0.0204375,0.06593750000000001
ScopedSlots,0.3,0.5,20,0.28368962787015045,0.5694375,0.012074841995261284,0.5940298507462687,0.015062500000000001,0.3404375
NCM-Psi,0.0,0.9,20,0.0,0.9949999999999999,0.0,0.0,0.0,0.005
ScopedSlots,0.0,0.9,20,0.0,0.60125,0.0,0.5522388059701493,0.0,0.33375
NCM-Psi,0.01,0.9,20,0.010768012668250197,0.9918125,0.002415513185095134,0.0018656716417910445,0.000625,0.006812500000000001
ScopedSlots,0.01,0.9,20,0.010768012668250197,0.6005625,0.002275260251163856,0.5537313432835822,0.0005,0.3335625
NCM-Psi,0.05,0.9,20,0.04881235154394299,0.976125,0.006449449180886881,0.011567164179104477,0.0031875000000000002,0.016
ScopedSlots,0.05,0.9,20,0.04881235154394299,0.5968125,0.0031538145241328994,0.5533582089552238,0.0026249999999999997,0.3331875
NCM-Psi,0.1,0.9,20,0.09754552652414886,0.9621875,0.007725502453426223,0.016791044776119403,0.0075,0.02475
ScopedSlots,0.1,0.9,20,0.09754552652414886,0.5939375,0.006992418356597684,0.5533582089552238,0.0045000000000000005,0.3325625
NCM-Psi,0.2,0.9,20,0.18341250989707047,0.923625,0.011899386317656973,0.045895522388059704,0.0126875,0.045875
ScopedSlots,0.2,0.9,20,0.18341250989707047,0.5804375,0.008412426194248843,0.5731343283582089,0.0088125,0.33718750000000003
NCM-Psi,0.3,0.9,20,0.28408551068883614,0.8884375,0.014337766424817764,0.07238805970149254,0.020125,0.069
ScopedSlots,0.3,0.9,20,0.28408551068883614,0.5683125,0.008878520428539899,0.5824626865671642,0.0165625,0.338625
