mode,system,n_scenarios,n_effective,accuracy,cross_instance_error_rate,cross_world_error_rate,unauthorized_disclosure_rate
identity_collapse,B5_branch_scoped_character,264,261,0.7626262626262627,0.35555555555555557,0.058823529411764705,0.6666666666666666
identity_collapse,B5a_lineage_only,264,261,0.7777777777777778,0.29305555555555557,0.08333333333333333,0.6666666666666666
identity_collapse,B5b_policy_only,264,261,0.8383838383838383,0.35555555555555557,0.058823529411764705,0.0
identity_collapse,B6_ncm_psi,264,261,0.8535353535353535,0.29305555555555557,0.08333333333333333,0.0
fork_cutoff_shift,B5_branch_scoped_character,264,264,0.7626262626262627,0.35555555555555557,0.058823529411764705,0.6666666666666666
fork_cutoff_shift,B5a_lineage_only,264,264,0.8939393939393939,0.06666666666666667,0.0,0.6666666666666666
fork_cutoff_shift,B5b_policy_only,264,264,0.8383838383838383,0.35555555555555557,0.058823529411764705,0.0
fork_cutoff_shift,B6_ncm_psi,264,264,0.9696969696969697,0.06666666666666667,0.0,0.0
world_mind_branch_swap,B5_branch_scoped_character,264,48,0.7335858585858586,0.34444444444444444,0.1715686274509804,0.6527777777777778
world_mind_branch_swap,B5a_lineage_only,264,48,0.9040404040404041,0.002777777777777778,0.0784313725490196,0.6527777777777778
world_mind_branch_swap,B5b_policy_only,264,48,0.8087121212121212,0.34444444444444444,0.1715686274509804,0.0
world_mind_branch_swap,B6_ncm_psi,264,48,0.9791666666666666,0.002777777777777778,0.0784313725490196,0.0
exposure_source_swap,B5_branch_scoped_character,264,96,0.7626262626262627,0.35555555555555557,0.058823529411764705,0.6666666666666666
exposure_source_swap,B5a_lineage_only,264,96,0.8636363636363636,0.13333333333333333,0.0,0.6666666666666666
exposure_source_swap,B5b_policy_only,264,96,0.8383838383838383,0.35555555555555557,0.058823529411764705,0.0
exposure_source_swap,B6_ncm_psi,264,96,0.9393939393939394,0.13333333333333333,0.0,0.0
attitude_laundering,B5_branch_scoped_character,264,64,0.7569444444444444,0.35555555555555557,0.058823529411764705,0.6666666666666666
attitude_laundering,B5a_lineage_only,264,64,0.9084595959595959,0.022222222222222223,0.0,0.6666666666666666
attitude_laundering,B5b_policy_only,264,64,0.8327020202020202,0.35555555555555557,0.058823529411764705,0.0
attitude_laundering,B6_ncm_psi,264,64,0.9842171717171717,0.022222222222222223,0.0,0.0
policy_declassification,B5_branch_scoped_character,264,120,0.7752525252525253,0.35555555555555557,0.058823529411764705,0.8611111111111112
policy_declassification,B5a_lineage_only,264,120,0.9368686868686869,0.0,0.0,0.8611111111111112
policy_declassification,B5b_policy_only,264,120,0.8061868686868687,0.35555555555555557,0.058823529411764705,0.7083333333333334
policy_declassification,B6_ncm_psi,264,120,0.9678030303030303,0.0,0.0,0.7083333333333334
restore_parent_error,B5_branch_scoped_character,264,168,0.7626262626262627,0.35555555555555557,0.058823529411764705,0.6666666666666666
restore_parent_error,B5a_lineage_only,264,168,0.8787878787878788,0.1,0.0,0.6666666666666666
restore_parent_error,B5b_policy_only,264,168,0.8383838383838383,0.35555555555555557,0.058823529411764705,0.0
restore_parent_error,B6_ncm_psi,264,168,0.9545454545454546,0.1,0.0,0.0
temporal_scope_shift,B5_branch_scoped_character,264,264,0.7380050505050505,0.35555555555555557,0.07598039215686274,0.6666666666666666
temporal_scope_shift,B5a_lineage_only,264,264,0.8907828282828283,0.019444444444444445,0.01715686274509804,0.6666666666666666
temporal_scope_shift,B5b_policy_only,264,264,0.8137626262626263,0.35555555555555557,0.07598039215686274,0.0
temporal_scope_shift,B6_ncm_psi,264,264,0.9665404040404041,0.019444444444444445,0.01715686274509804,0.0
speaker_or_holder_swap,B5_branch_scoped_character,264,144,0.7626262626262627,0.35555555555555557,0.058823529411764705,0.6666666666666666
speaker_or_holder_swap,B5a_lineage_only,264,144,0.8352272727272727,0.1625,0.07107843137254902,0.6666666666666666
speaker_or_holder_swap,B5b_policy_only,264,144,0.8383838383838383,0.35555555555555557,0.058823529411764705,0.0
speaker_or_holder_swap,B6_ncm_psi,264,144,0.9109848484848485,0.1625,0.07107843137254902,0.0
