method,p_target,rho,N_runs,RepresentationError,RepresentationErrorTheory,AnswerAccMean,AnswerAccSD,LeakRateMean,BranchContaminationMean
single-pass,0.0,0.0,12,0.0,0.0,1.0,0.0,0.0,0.0
triple-majority,0.0,0.0,12,0.0,0.0,1.0,0.0,0.0,0.0
single-pass,0.01,0.0,12,0.010026,0.01,0.990365,0.001661,0.001667,0.001206
triple-majority,0.01,0.0,12,0.000179,0.000298,0.999762,0.000592,0.0,0.000032
single-pass,0.05,0.0,12,0.052,0.05,0.952603,0.006113,0.0085,0.005651
triple-majority,0.05,0.0,12,0.007154,0.00725,0.994222,0.002817,0.0015,0.000762
single-pass,0.1,0.0,12,0.101872,0.1,0.909683,0.009211,0.016333,0.011079
triple-majority,0.1,0.0,12,0.027872,0.028,0.975444,0.005962,0.006833,0.003302
single-pass,0.2,0.0,12,0.200179,0.2,0.820762,0.006686,0.029333,0.022778
triple-majority,0.2,0.0,12,0.106462,0.104,0.904238,0.006766,0.016667,0.012016
single-pass,0.3,0.0,12,0.299487,0.3,0.731365,0.016629,0.043833,0.035317
triple-majority,0.3,0.0,12,0.217897,0.216,0.804635,0.01368,0.029333,0.024254
single-pass,0.0,0.5,12,0.0,0.0,1.0,0.0,0.0,0.0
triple-majority,0.0,0.5,12,0.0,0.0,1.0,0.0,0.0,0.0
single-pass,0.01,0.5,12,0.010077,0.01,0.99073,0.003092,0.001167,0.001143
triple-majority,0.01,0.5,12,0.005154,0.005075,0.995365,0.002129,0.0005,0.000556
single-pass,0.05,0.5,12,0.051026,0.05,0.952159,0.005681,0.0085,0.005873
triple-majority,0.05,0.5,12,0.027,0.02689,0.974365,0.004783,0.004333,0.003206
single-pass,0.1,0.5,12,0.100872,0.1,0.906429,0.008955,0.0135,0.01127
triple-majority,0.1,0.5,12,0.058179,0.057618,0.947063,0.007731,0.006667,0.006444
single-pass,0.2,0.5,12,0.197128,0.2,0.823159,0.011891,0.033167,0.021984
triple-majority,0.2,0.5,12,0.12841,0.130864,0.883397,0.013055,0.020833,0.013937
single-pass,0.3,0.5,12,0.296795,0.3,0.741857,0.008666,0.044333,0.034111
triple-majority,0.3,0.5,12,0.216026,0.220069,0.811778,0.00716,0.031667,0.023683
single-pass,0.0,0.9,12,0.0,0.0,1.0,0.0,0.0,0.0
triple-majority,0.0,0.9,12,0.0,0.0,1.0,0.0,0.0,0.0
single-pass,0.01,0.9,12,0.010103,0.01,0.990968,0.003096,0.001833,0.001079
triple-majority,0.01,0.9,12,0.009103,0.009003,0.991762,0.002938,0.001833,0.001016
single-pass,0.05,0.9,12,0.048564,0.05,0.955746,0.004623,0.008,0.005381
triple-majority,0.05,0.9,12,0.043744,0.045078,0.960079,0.003569,0.007167,0.004873
single-pass,0.1,0.9,12,0.100795,0.1,0.911159,0.008137,0.013,0.011159
triple-majority,0.1,0.9,12,0.091256,0.090327,0.920794,0.008842,0.0115,0.010079
single-pass,0.2,0.9,12,0.197538,0.2,0.822762,0.010155,0.030333,0.021302
triple-majority,0.2,0.9,12,0.17841,0.18144,0.839778,0.009258,0.026667,0.019238
single-pass,0.3,0.9,12,0.303205,0.3,0.736857,0.010535,0.041667,0.033762
triple-majority,0.3,0.9,12,0.276615,0.273597,0.759444,0.009944,0.038,0.030317
