replicate,domain,method,predictions_sha256,opaque_key_commitment_sha256,opaque_mapping_commitment_sha256,repository_revision,run_metadata_sha256,official_summary_sha256,episodes_sha256,checkpoints_sha256
1,education,always_no_memory,b17cfb22a8a32e512dd22b80ab82c3c12d823198ec66c91398ee40cf99031216,0bf63bc72a966831dccb02817dd86d6d0731fa04f273ced37349c449825a0ef1,2ddedb34ab312a8fa7fbf00b9623f461e2ba028885f80b628aa4c96849081b89,8fd14b3e631a8faeae46f2e73273a94c11a129f4,9ddb47ec7c26952570f32cf4f173f1232c5a5f515b3a9052575f62e984ec0f74,a614c3dad598ed010e3f2a75f2d7c9828a7cd98bc2588817eafd2afdb7234f6f,5971478a96553c2eb18a9f1e079987275da0cddf6175e40abda8a58525e65862,2a372a5017a99108c83324d2fed25dbfb7797a2fb25a20fc066ed5b2d05739b5
1,education,raw_lexical,f7781e905b1d7cd7fb678363fc240fe9bf2fd49585dbec2e70548fb3904d2aeb,d31b3e7218fb54394d9f70a7c30f98804f9b87aa25950d2ff14577906dd77fde,af0fd5620516ccfef708078de862e1067fadc5995457810517ba6a428ca9f10c,8fd14b3e631a8faeae46f2e73273a94c11a129f4,14de813b1c5bccd802e3998681e6517af107dc91d8aac580e05e0436e538a58b,5a0aaac2be0cd383eec6fce741ae80796ec353b20e8001b89145fcd430f0fd89,5971478a96553c2eb18a9f1e079987275da0cddf6175e40abda8a58525e65862,2a372a5017a99108c83324d2fed25dbfb7797a2fb25a20fc066ed5b2d05739b5
1,household,always_no_memory,0ebd7398bbe7452c409c4856d966d37064281c7e78f7436f6e08c043cc72eead,6f01336a718ccd9561ded19a71a1ca83def3fbe24739f8b84241194303ac5830,2827fcf0bd5a2706c42567a062dc74acb6491e5078783bb436510dba898b4a46,8fd14b3e631a8faeae46f2e73273a94c11a129f4,3ff0fe2ac015f308fc949ccda6550f1bda9e3a7ccf7e4dcc4cc75f48f0c2ce31,a71f1c5dc555ff3c62af165127de227d8e9d375ef44d19d5cdfa96a65bfc1252,e2bb506cc1bdc8dc7b16d4a57610147365798d03eb1c326f9197b6c6221efb6f,4692c3e1ea91be63debd7b39ccc5fc425bc1a83155c1bfb5c197ba68cefd93ae
1,household,raw_lexical,306520419a7690da07add04a7d4c09d196324d709a6e68d06ef6116ac225469e,a0cb193adb5a65a904fbc2467115a2d25ad1dd7d7a00f25e0586aff205fd97d7,7d0759b4cc32b529d8ff7c74f06f20133549c03d5c748cd1ca9f32315934cbe4,8fd14b3e631a8faeae46f2e73273a94c11a129f4,e6ecc9a49cc85390a6b5a7b87f0d284b879e7f76d35e982fcd87fbb2fd42a40b,86e80e1928d18be956ef65dbbc3db664275ff6e7b9f72cc50131866885161963,e2bb506cc1bdc8dc7b16d4a57610147365798d03eb1c326f9197b6c6221efb6f,4692c3e1ea91be63debd7b39ccc5fc425bc1a83155c1bfb5c197ba68cefd93ae
1,medical,always_no_memory,e62531828a2136e60cec8d056a0acede868e8958484c1fd0bad26a45eb34b499,c209d4e66c15073f778862c84220f378e7c04c9684821a475c67a6fce410a1e6,176d9d3f4e1f62ca2cdc2c8bd0337a42d7b2f4c0e9be13b926e485f7b81736ca,8fd14b3e631a8faeae46f2e73273a94c11a129f4,263b5322b58505fd094ce329aa508342a4f9f7408bdd5286db1a323325149455,d7babaccc997ecb421da7ff7333e9c6c93a4974bfc867039b45866622d759f4a,d4b01f62cbd3457715b5958cf2d07d496c6e59280d28041927e2b3ab8a444b9f,2447f5905081e6002f16ad14f7f7dc19e14b7181e5ac8ebd08144d68da6437a0
1,medical,raw_lexical,87e26b1fa04eac29be43ea7f1dcad76bbe02a47dbf08f50286bd930f7f8e9a30,85c11769d4415fb937883c70299ebb42a60325e389c24d4a36e34a172dec0983,4b84a4b27422e165aa3317f2858ddd3357ef1d548fa4ed6568a1c2311bc80e23,8fd14b3e631a8faeae46f2e73273a94c11a129f4,60952ecce77ce3df44162e8cd9cebba65f6bda721c4c071d6e9415ab75dda4d2,ded65ade63a62a2ffb4c1f12a1fc2a5e4eeaa402b41640fa1824ba03414d8198,d4b01f62cbd3457715b5958cf2d07d496c6e59280d28041927e2b3ab8a444b9f,2447f5905081e6002f16ad14f7f7dc19e14b7181e5ac8ebd08144d68da6437a0
1,office,always_no_memory,77d7783c0f67ca24cfda9e8269d19555a9cd5b6e52def0a540025e33ab258e6c,32c14e237c3ad9db7d196bf9ee90bbbc743c2bfa1c678aa7db8f61f1920c4e21,4fea0094c2c00010daf1a2bf3c6068ea1ac9ba9a8cf761983947a9fef3d3b8a2,8fd14b3e631a8faeae46f2e73273a94c11a129f4,a8650b575392c3eec54099bbddaa6f651f729726a48969cb022234dddcac5d13,56482f8c61b1c0b395679306acd51914122b8ff15a3e8ee1e4edaae6454585b7,e15797cc0ab778067e0235377a09811c73182b5e1aa28e2221adc5ef9638a409,7186bc1dd66b493f994b802bad8817d7aa5e7a91f498d67f87410a98f8116d0c
1,office,raw_lexical,f70e41ea05092c89e6314b24089f7a9b033a7fe25cf2e40fe174a01c75b176be,70f53d7c956ac3e17a26d9759c3dfdbe4e7ce4e72b071fa613c372a284d03787,83447c78a9331477579edadfdae8cb90d2ecbda0add0afec0df547c7cb6a7e2a,8fd14b3e631a8faeae46f2e73273a94c11a129f4,6bc9b1029ce5b3a5d76e378aa864a7283d91479c5ece96b19ca487b3c9b82aef,dfcaea970eeb051b0a50aaf3b7f0383c9da845000032eb3eed223195e2f7c9c1,e15797cc0ab778067e0235377a09811c73182b5e1aa28e2221adc5ef9638a409,7186bc1dd66b493f994b802bad8817d7aa5e7a91f498d67f87410a98f8116d0c
2,education,always_no_memory,b17cfb22a8a32e512dd22b80ab82c3c12d823198ec66c91398ee40cf99031216,4f727c3c973931fe36a75b64d0f320b8d228dcd7d22ee6b0f3c1a2a1a2caf75a,a815d784f67215b4610dc07559a43885a9861a929a84ee7350c325007413766c,8fd14b3e631a8faeae46f2e73273a94c11a129f4,b17359b7e97f855c67bc236b7e21a4af508ccfe489a8339ba320004490bc2cc1,a614c3dad598ed010e3f2a75f2d7c9828a7cd98bc2588817eafd2afdb7234f6f,5971478a96553c2eb18a9f1e079987275da0cddf6175e40abda8a58525e65862,2a372a5017a99108c83324d2fed25dbfb7797a2fb25a20fc066ed5b2d05739b5
2,education,raw_lexical,d39c1e7e9df5d0d413a479fbb5f6621acd132f3aab9b90048755dac0c7e8d845,aba82aeab16dc1c2cdecedf8ce74364e39a139842d89b7578ef4bdbd38af2f77,4d0b4d32b0cd6abdbfb2f6fda007551536113973fb85a9d7af4437237fd7ab2b,8fd14b3e631a8faeae46f2e73273a94c11a129f4,a9df94a62e282c5c7fec6a1ec9d2f100354d7f4b1327a8a4112efae01f90796f,5a0aaac2be0cd383eec6fce741ae80796ec353b20e8001b89145fcd430f0fd89,5971478a96553c2eb18a9f1e079987275da0cddf6175e40abda8a58525e65862,2a372a5017a99108c83324d2fed25dbfb7797a2fb25a20fc066ed5b2d05739b5
2,household,always_no_memory,0ebd7398bbe7452c409c4856d966d37064281c7e78f7436f6e08c043cc72eead,2a446dafddb196aec5c0df78d7396efbfc0d0752506af694795480020fd83e71,6a60ae0469daa91157961165d40c09162ec05ca368dbbcd336a9ebff0929fc95,8fd14b3e631a8faeae46f2e73273a94c11a129f4,103a1dca9783b902e92e6082c58a04af9ebdd57de7b3a724791e8265b24be18e,a71f1c5dc555ff3c62af165127de227d8e9d375ef44d19d5cdfa96a65bfc1252,e2bb506cc1bdc8dc7b16d4a57610147365798d03eb1c326f9197b6c6221efb6f,4692c3e1ea91be63debd7b39ccc5fc425bc1a83155c1bfb5c197ba68cefd93ae
2,household,raw_lexical,8054e154f814975bea9aebfacc3e9403f6351ee373581493ec9e2024163cbbd7,72992e9bc9fa1dca029bb7614b3a050065775e6f5965eb029bdf3bbb9d43c909,2a047aa58d3176ee17921a5605740ece9f8db8a7717d6796cc559523d067f625,8fd14b3e631a8faeae46f2e73273a94c11a129f4,872cdef75502ed174903bae3b4290b10be624a32689fa36acae0a578cba98910,86e80e1928d18be956ef65dbbc3db664275ff6e7b9f72cc50131866885161963,e2bb506cc1bdc8dc7b16d4a57610147365798d03eb1c326f9197b6c6221efb6f,4692c3e1ea91be63debd7b39ccc5fc425bc1a83155c1bfb5c197ba68cefd93ae
2,medical,always_no_memory,e62531828a2136e60cec8d056a0acede868e8958484c1fd0bad26a45eb34b499,72e183096c2579dddf6b51edefd3a80b34e8c47a98d4f75fadde95aef97b5ff2,31c000989de2f8d5179c34e350e8ee3bdedd19d11d5c82bca7dcab536f822bc2,8fd14b3e631a8faeae46f2e73273a94c11a129f4,3daa92f6de2ae1ac3dc13b8b63d08f8e631cfa15d9a296195eaafe3d4c863b38,d7babaccc997ecb421da7ff7333e9c6c93a4974bfc867039b45866622d759f4a,d4b01f62cbd3457715b5958cf2d07d496c6e59280d28041927e2b3ab8a444b9f,2447f5905081e6002f16ad14f7f7dc19e14b7181e5ac8ebd08144d68da6437a0
2,medical,raw_lexical,e311db4302160cbb4fa55e4ed44e1d2737647882c82490e9c64ce4a6396be1c8,54aa6184ef68632771f2617d30d916ed02c3213c15e33a9e171f148d51dfb61f,9bf0483f16b0d9417cb0bae81c2ab79872f6a3384a62aa0d518c7127ee26e8e2,8fd14b3e631a8faeae46f2e73273a94c11a129f4,1ae722c77f105212f73c62a4ea5e3b48a8a95861f29fbd1a6d6122530526c2e0,ded65ade63a62a2ffb4c1f12a1fc2a5e4eeaa402b41640fa1824ba03414d8198,d4b01f62cbd3457715b5958cf2d07d496c6e59280d28041927e2b3ab8a444b9f,2447f5905081e6002f16ad14f7f7dc19e14b7181e5ac8ebd08144d68da6437a0
2,office,always_no_memory,77d7783c0f67ca24cfda9e8269d19555a9cd5b6e52def0a540025e33ab258e6c,92c748b72d005121e53cd9c2c99262ce539621f8ccbabee07cecab1b6e1cfb05,4eb705ccbb0755100b5301e91e6b22906b3a6e2da0e1882198acb78eb41488a1,8fd14b3e631a8faeae46f2e73273a94c11a129f4,5baa6d0de800ae8b658ff75bb7105be0157384b7ebf2912c1e5c9c2cbc2cf725,56482f8c61b1c0b395679306acd51914122b8ff15a3e8ee1e4edaae6454585b7,e15797cc0ab778067e0235377a09811c73182b5e1aa28e2221adc5ef9638a409,7186bc1dd66b493f994b802bad8817d7aa5e7a91f498d67f87410a98f8116d0c
