fixture_id,archetype,system,finding_count,local_checks,cross_checks,scanned_events
f01,identity_fork_copy_public_backup,generic_basic,0,32,0,16
f01,identity_fork_copy_public_backup,generic_audited,0,64,21,16
f01,identity_fork_copy_public_backup,typed,0,80,37,16
f02,authorized_operational_replica,generic_basic,0,22,0,11
f02,authorized_operational_replica,generic_audited,0,44,21,11
f02,authorized_operational_replica,typed,0,55,32,11
f03,identity_fork_no_first_person,generic_basic,0,24,0,12
f03,identity_fork_no_first_person,generic_audited,0,48,21,12
f03,identity_fork_no_first_person,typed,0,60,33,12
f04,restore_with_recovery_gap,generic_basic,0,26,0,13
f04,restore_with_recovery_gap,generic_audited,0,52,26,13
f04,restore_with_recovery_gap,typed,0,65,39,13
f05,world_fork_delayed_pre_fork_import,generic_basic,0,10,0,5
f05,world_fork_delayed_pre_fork_import,generic_audited,0,20,2,5
f05,world_fork_delayed_pre_fork_import,typed,0,25,7,5
f06,receipt_without_belief,generic_basic,0,18,0,9
f06,receipt_without_belief,generic_audited,0,36,8,9
f06,receipt_without_belief,typed,0,45,17,9
f07,receipt_and_rejection,generic_basic,0,20,0,10
f07,receipt_and_rejection,generic_audited,0,40,9,10
f07,receipt_and_rejection,typed,0,50,19,10
f08,forget_and_reacquire,generic_basic,0,22,0,11
f08,forget_and_reacquire,generic_audited,0,44,18,11
f08,forget_and_reacquire,typed,0,55,29,11
f09,shared_support_revoked,generic_basic,0,14,0,7
f09,shared_support_revoked,generic_audited,0,28,2,7
f09,shared_support_revoked,typed,0,35,9,7
f10,same_origin_not_independent,generic_basic,0,14,0,7
f10,same_origin_not_independent,generic_audited,0,28,2,7
f10,same_origin_not_independent,typed,0,35,9,7
f11,cross_world_report,generic_basic,0,24,0,12
f11,cross_world_report,generic_audited,0,48,10,12
f11,cross_world_report,typed,0,60,22,12
f12,multi_source_fragment_reconstruction,generic_basic,0,30,0,15
f12,multi_source_fragment_reconstruction,generic_audited,0,60,24,15
f12,multi_source_fragment_reconstruction,typed,0,75,39,15
f13,ordinary_temporal_update_control,generic_basic,0,6,0,3
f13,ordinary_temporal_update_control,generic_audited,0,12,1,3
f13,ordinary_temporal_update_control,typed,0,15,4,3
f14,same_principal_unsynchronized_replicas,generic_basic,0,18,0,9
f14,same_principal_unsynchronized_replicas,generic_audited,0,36,15,9
f14,same_principal_unsynchronized_replicas,typed,0,45,24,9
