domain,episode_id,turn_id,source_line,text_sha256,information_referent_present,delete_signal_count,all_signal_operations
education,education_episode_custom_en_001_atlas_atlas_scholars_dual_track,t116,1,5e71389a2c717afb8beed07de7fcf52bf28dfa5bbf46212d3b9cd0f4450babc4,True,1,delete
education,education_episode_custom_en_001_atlas_atlas_scholars_dual_track,t134,1,774824a77fab73e316e8e73c5199b676084d7155f09bd6f7b4cf2937609f0386,True,1,delete
education,education_episode_custom_en_001_atlas_atlas_scholars_dual_track,t148,1,b83ef71d9aa367ff88b0e4bd4a58dbd45e14f61dbf61ddd3625f1377265b5acf,True,1,delete
education,education_episode_custom_en_002_beacon_grant_beacon_hall_dual_track,t097,2,d22affa6b758feab6243cb893eede5fb1a830dc471b69e0fb12f0eddee936e07,True,1,delete
education,education_episode_custom_en_002_beacon_grant_beacon_hall_dual_track,t099,2,ce9388b529d689b734b1cef4b853db5a10fce9227a594b0ad74febcfad849301,True,1,delete
education,education_episode_custom_en_002_beacon_grant_beacon_hall_dual_track,t101,2,2e0c600b3dafd4b9f80e80911bf7a883bcd4cb26896664e993c11c8135f86555,True,1,delete
education,education_episode_custom_en_003_cedar_review_cedar_commons_dual_track,t114,3,043dad75664a145e3080ff61fcf077fd933677914976488fc615f883e7ab362b,True,1,delete
education,education_episode_custom_en_003_cedar_review_cedar_commons_dual_track,t116,3,f58307ff25eabab66549a01aae2bff35bbf6fa8be9929f1b75ab80e5d8a9652d,True,1,delete
education,education_episode_custom_en_004_orchid_committee_orchid_commons_dual_track,t145,4,9245539d02d846e90ba3ec0ea0071e3926d0c513b786a030fb05bd253da5aaae,True,1,delete
education,education_episode_custom_en_004_orchid_committee_orchid_commons_dual_track,t149,4,27f2ccaf9d2b6aebdf462dab4930d52ccd1c5b8c12874d3474f744b6672fe06d,True,1,delete
education,education_episode_custom_en_005_lumen_review_lumen_leaders_dual_track,t154,5,7fe60a18a8bce23ab1082ef14f37dcfaab51f340381714861783c0fe48e4c6ae,True,1,delete
education,education_episode_custom_en_005_lumen_review_lumen_leaders_dual_track,t158,5,ddf2c22a8bf32de99058ee4300e749345f93f60fb3131db7f18c75f8cf874417,True,1,delete
education,education_episode_custom_en_006_harbor_review_harbor_leaders_dual_track,t145,6,7f391cfd563bfb07d4b7170feb6b44b3f37631283be7e75cb9dcac79d4903a7e,True,1,delete
education,education_episode_custom_en_006_harbor_review_harbor_leaders_dual_track,t149,6,2cedd46452bba37280f545c87a899a827f190b626fd56af9d20540f41717bb6b,True,1,delete
education,education_episode_custom_en_008_cobalt_placement_cobalt_fellows_dual_track,t179,8,143eb6391c4b543fc7cb6c05eb0d3f2aa66547c8255d7c06738d94a4874c6f64,True,1,delete
