source_row_number,domain,episode_id,turn_id,text_sha256,request_type,target_grounding,authorization_mixed,coder_confidence,note_code,delete_signal_count
1,education,education_episode_custom_en_028_cinder_clearance_cinder_connectors_dual_track,t200,8f00dd867ec7916729c5cdb0137d2f80853ece1ba89d22dd9185e8829c61b236,information_deletion,explicit_current_turn,false,high,explicit_content,0
2,education,education_episode_custom_en_029_paragon_petition_paragon_coaches_dual_track,t200,d98bff16ac844c399204b2e108d2444e5cf597a1def52dd521b57d1d254ad5ca,information_deletion,explicit_current_turn,false,high,explicit_content,0
3,education,education_episode_custom_en_030_helix_petition_helix_coaches_dual_track,t200,481e7fa05a674d4d219d28e2b765aa3c46f4d86174a2d351a2bb3789797b3e4b,information_deletion,explicit_current_turn,false,high,explicit_content,0
4,household,household_episode_custom_en_003_maple_watch_maple_works_travel_service,t036,48c260fb94f726842a463210a743a3ed2c2b57099ab568fc50762dabfe719c2e,information_deletion,explicit_current_turn,false,high,explicit_content,0
5,household,household_episode_custom_en_003_maple_watch_maple_works_travel_service,t062,1aef422d0f1477c5f0630ac9312294c2fa27d7fab93fe2fcf2737d918b074fb0,information_deletion,explicit_current_turn,false,high,explicit_content,0
6,household,household_episode_custom_en_003_maple_watch_maple_works_travel_service,t084,857caa01f041f0e5818ca80b295ec2cdb4b3d43b8513116caf518301769fe34d,information_deletion,explicit_current_turn,false,high,explicit_content,0
7,household,household_episode_custom_en_007_juniper_paws_juniper_parcel_pet_courier,t149,6e81667f23d286f54c4b3109bfeace3d81d15e38f03babeb51d36a91c6fe44b8,information_deletion,deictic_prior_context,false,high,deictic_exact_content,0
8,household,household_episode_custom_en_008_saffron_supper_saffron_stems_surprise_setup,t073,e4fbd0c81ecc16d131e6ab4b6365f28c3878c9f29a5971802a8614eac570524a,information_deletion,explicit_current_turn,false,high,explicit_content,0
9,household,household_episode_custom_en_008_saffron_supper_saffron_stems_surprise_setup,t108,9883e379fdcc49db7644aecff02ed7450e79ed0a0ba60881d56a9f3ed2beba19,information_deletion,explicit_current_turn,false,high,explicit_content,0
10,household,household_episode_custom_en_009_linden_lesson_linden_listen_tutor_music_private_note,t096,04e1eb2081714bf278a9a05b903d61c6488f47736a405a4b79071ad1879dca78,information_deletion,explicit_current_turn,false,high,explicit_content,0
11,household,household_episode_custom_en_012_birch_booth_birch_bins_yardsale_donation_private_note,t102,9610d952e7dabe40dbdef2c14260657e6fe9d575802cc81fb7b3708cbf62ea6b,information_deletion,explicit_current_turn,false,high,explicit_content,0
12,household,household_episode_custom_en_012_birch_booth_birch_bins_yardsale_donation_private_note,t127,631732b0aec1412949e2d159eca0d7b0180cd286b9d028fc1113dc805f451fe0,information_deletion,explicit_current_turn,false,high,explicit_content,0
13,household,household_episode_custom_en_012_birch_booth_birch_bins_yardsale_donation_private_note,t171,fe3a8d1c424e742c259e3a00e46a7f8f7370d0975175bd651b2b379babdf8d7b,information_deletion,explicit_current_turn,false,high,explicit_content,0
14,household,household_episode_custom_en_014_cypress_storm_cypress_supply_readiness_private_note,t091,51c4e115fc19886ca7da19425016c36daf8546414982b074bafc96d3bc386180,information_deletion,explicit_current_turn,false,high,explicit_content,0
15,household,household_episode_custom_en_014_cypress_storm_cypress_supply_readiness_private_note,t093,a487726deb00b5cca6c7886cbe6ec6e61c78e74d314a80b36ce6e9afd1bad4c2,information_deletion,explicit_current_turn,false,high,explicit_content,0
16,household,household_episode_custom_en_015_magnolia_frames_magnolia_freeze_gallery_meal_private_note,t064,2c27cd6c88786ce21cf0fbd77b5830d418bd18d2b2577472461de8f67c032a51,information_deletion,explicit_current_turn,false,high,explicit_content,0
