available,destination_creation_system_time,destination_stratum,implementation,replication_system_time,revision_role,revision_sha
True,5,before_replication,gold,6,main,069c5f4b16b2f594aec48924161ae8944f39652e
True,5,before_replication,generic,6,main,069c5f4b16b2f594aec48924161ae8944f39652e
True,5,before_replication,typed,6,main,069c5f4b16b2f594aec48924161ae8944f39652e
True,6,equal_to_replication,gold,6,main,069c5f4b16b2f594aec48924161ae8944f39652e
True,6,equal_to_replication,generic,6,main,069c5f4b16b2f594aec48924161ae8944f39652e
True,6,equal_to_replication,typed,6,main,069c5f4b16b2f594aec48924161ae8944f39652e
False,7,after_replication,gold,6,main,069c5f4b16b2f594aec48924161ae8944f39652e
False,7,after_replication,generic,6,main,069c5f4b16b2f594aec48924161ae8944f39652e
True,7,after_replication,typed,6,main,069c5f4b16b2f594aec48924161ae8944f39652e
True,5,before_replication,gold,6,pr55,2bda2ff38ea79dd0901f6329490d2f9940690261
True,5,before_replication,generic,6,pr55,2bda2ff38ea79dd0901f6329490d2f9940690261
True,5,before_replication,typed,6,pr55,2bda2ff38ea79dd0901f6329490d2f9940690261
True,6,equal_to_replication,gold,6,pr55,2bda2ff38ea79dd0901f6329490d2f9940690261
True,6,equal_to_replication,generic,6,pr55,2bda2ff38ea79dd0901f6329490d2f9940690261
True,6,equal_to_replication,typed,6,pr55,2bda2ff38ea79dd0901f6329490d2f9940690261
False,7,after_replication,gold,6,pr55,2bda2ff38ea79dd0901f6329490d2f9940690261
False,7,after_replication,generic,6,pr55,2bda2ff38ea79dd0901f6329490d2f9940690261
True,7,after_replication,typed,6,pr55,2bda2ff38ea79dd0901f6329490d2f9940690261
