fixture_id,family,query_id,target_space,invariant,expected,gold,generic,typed,all_agree
F01,branch_visibility,F01.q1,WORLD,parent_postfork_state,Room 2,Room 2,Room 2,Room 2,1
F01,branch_visibility,F01.q2,WORLD,postfork_parent_update_not_inherited,Room 1,Room 1,Room 1,Room 1,1
F01,branch_visibility,F01.q3,WORLD,late_import_of_prefork_fact_visible,Room 0,Room 0,Room 0,Room 0,1
F01,branch_visibility,F01.q4,WORLD,branch_local_override,Room 3,Room 3,Room 3,Room 3,1
F01,branch_visibility,F01.q5,WORLD,point_in_system_time_before_late_import,Room 1,Room 1,Room 1,Room 1,1
F02,mind_copy_without_world_fork,F02.q1,EVER_EXPOSED,copy_does_not_share_postfork_exposure,true,true,true,true,1
F02,mind_copy_without_world_fork,F02.q2,EVER_EXPOSED,sibling_copy_isolated,false,false,false,false,1
F02,mind_copy_without_world_fork,F02.q3,AVAILABLE,observer_current_availability,true,true,true,true,1
F02,mind_copy_without_world_fork,F02.q4,AVAILABLE,unexposed_copy_unavailable,false,false,false,false,1
F02,mind_copy_without_world_fork,F02.q5,ATTITUDE,instance_specific_attitude,believe,believe,believe,believe,1
F02,mind_copy_without_world_fork,F02.q6,ATTITUDE,same_principal_not_same_belief,unknown,unknown,unknown,unknown,1
F02,mind_copy_without_world_fork,F02.q7,ATTRIBUTION,direct_observation_attribution,direct_observation,direct_observation,direct_observation,direct_observation,1
F02,mind_copy_without_world_fork,F02.q8,ATTRIBUTION,no_attribution_without_exposure,unknown,unknown,unknown,unknown,1
F03,world_fork_without_mind_copy,F03.q1,WORLD,main_world_continues,blue,blue,blue,blue,1
F03,world_fork_without_mind_copy,F03.q2,WORLD,child_world_local_state,red,red,red,red,1
F03,world_fork_without_mind_copy,F03.q3,WORLD,prefork_state_shared,gray,gray,gray,gray,1
F04,unsynchronized_same_principal_replicas,F04.q1,ATTITUDE,replica_one_belief,believe,believe,believe,believe,1
F04,unsynchronized_same_principal_replicas,F04.q2,ATTITUDE,replica_two_belief,disbelieve,disbelieve,disbelieve,disbelieve,1
F04,unsynchronized_same_principal_replicas,F04.q3,EVER_EXPOSED,no_implicit_same_principal_sync,false,false,false,false,1
F04,unsynchronized_same_principal_replicas,F04.q4,EVER_EXPOSED,reverse_no_implicit_sync,false,false,false,false,1
F05,identity_fork_copy_attribution,F05.q1,EVER_EXPOSED,identity_fork_received_copy,true,true,true,true,1
F05,identity_fork_copy_attribution,F05.q2,AVAILABLE,copied_evidence_available,true,true,true,true,1
F05,identity_fork_copy_attribution,F05.q3,ATTRIBUTION,copy_not_first_person,evidence_copy,evidence_copy,evidence_copy,evidence_copy,1
F05,identity_fork_copy_attribution,F05.q4,ATTITUDE,copy_can_be_believed,believe,believe,believe,believe,1
F05,identity_fork_copy_attribution,F05.q5,ATTRIBUTION,source_retains_direct_attribution,direct_observation,direct_observation,direct_observation,direct_observation,1
F06,receive_accept_reject,F06.q1,EVER_EXPOSED,receipt_creates_exposure,true,true,true,true,1
F06,receive_accept_reject,F06.q2,ATTITUDE,receipt_does_not_imply_belief,unknown,unknown,unknown,unknown,1
F06,receive_accept_reject,F06.q3,ATTITUDE,explicit_rejection,disbelieve,disbelieve,disbelieve,disbelieve,1
F06,receive_accept_reject,F06.q4,ATTITUDE,later_adoption,believe,believe,believe,believe,1
F06,receive_accept_reject,F06.q5,ATTRIBUTION,adoption_does_not_upgrade_attribution,attributed_report,attributed_report,attributed_report,attributed_report,1
F07,exposure_policy_lifecycle,F07.q1,AVAILABLE,available_after_observation,true,true,true,true,1
F07,exposure_policy_lifecycle,F07.q2,EVER_EXPOSED,seal_preserves_historical_exposure,true,true,true,true,1
F07,exposure_policy_lifecycle,F07.q3,AVAILABLE,seal_blocks_current_availability,false,false,false,false,1
F07,exposure_policy_lifecycle,F07.q4,AVAILABLE,unseal_restores_access,true,true,true,true,1
