archetype_id,fault_class,detectable_level,system,N,DetectionRate,UISR,FalseAlarmRate,ExactLocalizationRate,AlertRules
C01_direct_observation_dominates,clean_control,clean,G-Complete,20,0.0,0.0,0.0,0.0,
C01_direct_observation_dominates,clean_control,clean,G-Envelope,20,0.0,0.0,0.0,0.0,
C01_direct_observation_dominates,clean_control,clean,G-Raw,20,0.0,0.0,0.0,0.0,
C01_direct_observation_dominates,clean_control,clean,T-Canonical,20,0.0,0.0,0.0,0.0,
C01_direct_observation_dominates,clean_control,clean,T-Envelope,20,0.0,0.0,0.0,0.0,
C01_direct_observation_dominates,clean_control,clean,T-Local,20,0.0,0.0,0.0,0.0,
C02_public_revoke_is_requester_specific,clean_control,clean,G-Complete,20,0.0,0.0,0.0,0.0,
C02_public_revoke_is_requester_specific,clean_control,clean,G-Envelope,20,0.0,0.0,0.0,0.0,
C02_public_revoke_is_requester_specific,clean_control,clean,G-Raw,20,0.0,0.0,0.0,0.0,
C02_public_revoke_is_requester_specific,clean_control,clean,T-Canonical,20,0.0,0.0,0.0,0.0,
C02_public_revoke_is_requester_specific,clean_control,clean,T-Envelope,20,0.0,0.0,0.0,0.0,
C02_public_revoke_is_requester_specific,clean_control,clean,T-Local,20,0.0,0.0,0.0,0.0,
F01_missing_required_field,local_schema,local,G-Complete,20,1.0,0.0,0.0,1.0,missing_required_field
F01_missing_required_field,local_schema,local,G-Envelope,20,1.0,0.0,0.0,1.0,missing_required_field
F01_missing_required_field,local_schema,local,G-Raw,20,0.0,1.0,0.0,0.0,
F01_missing_required_field,local_schema,local,T-Canonical,20,1.0,0.0,0.0,1.0,missing_required_field
F01_missing_required_field,local_schema,local,T-Envelope,20,1.0,0.0,0.0,1.0,missing_required_field
F01_missing_required_field,local_schema,local,T-Local,20,1.0,0.0,0.0,1.0,missing_required_field
F02_invalid_enum,local_schema,local,G-Complete,20,1.0,0.0,0.0,1.0,invalid_enum
F02_invalid_enum,local_schema,local,G-Envelope,20,1.0,0.0,0.0,1.0,invalid_enum
F02_invalid_enum,local_schema,local,G-Raw,20,0.0,1.0,0.0,0.0,
F02_invalid_enum,local_schema,local,T-Canonical,20,1.0,0.0,0.0,1.0,invalid_enum
F02_invalid_enum,local_schema,local,T-Envelope,20,1.0,0.0,0.0,1.0,invalid_enum
F02_invalid_enum,local_schema,local,T-Local,20,1.0,0.0,0.0,1.0,invalid_enum
F03_unknown_reference,referential,local,G-Complete,20,1.0,0.0,0.0,1.0,source_not_exposed|unknown_evidence_reference
F03_unknown_reference,referential,local,G-Envelope,20,1.0,0.0,0.0,1.0,source_not_exposed|unknown_evidence_reference
F03_unknown_reference,referential,local,G-Raw,20,0.0,1.0,0.0,0.0,
F03_unknown_reference,referential,local,T-Canonical,20,1.0,0.0,0.0,1.0,source_not_exposed|unknown_evidence_reference
F03_unknown_reference,referential,local,T-Envelope,20,1.0,0.0,0.0,1.0,source_not_exposed|unknown_evidence_reference
F03_unknown_reference,referential,local,T-Local,20,1.0,0.0,0.0,1.0,unknown_evidence_reference
F04_duplicate_conflicting_id,structural,local,G-Complete,20,1.0,0.0,0.0,1.0,duplicate_conflicting_id
F04_duplicate_conflicting_id,structural,local,G-Envelope,20,1.0,0.0,0.0,1.0,duplicate_conflicting_id
F04_duplicate_conflicting_id,structural,local,G-Raw,20,1.0,0.0,0.0,1.0,duplicate_conflicting_id
F04_duplicate_conflicting_id,structural,local,T-Canonical,20,1.0,0.0,0.0,1.0,duplicate_conflicting_id
F04_duplicate_conflicting_id,structural,local,T-Envelope,20,1.0,0.0,0.0,1.0,duplicate_conflicting_id
F04_duplicate_conflicting_id,structural,local,T-Local,20,1.0,0.0,0.0,1.0,duplicate_conflicting_id
F05_unauthorized_transfer,lifecycle,semantic,G-Complete,20,1.0,0.0,0.0,1.0,unauthorized_transfer
F05_unauthorized_transfer,lifecycle,semantic,G-Envelope,20,1.0,0.0,0.0,1.0,unauthorized_transfer
F05_unauthorized_transfer,lifecycle,semantic,G-Raw,20,0.0,1.0,0.0,0.0,
F05_unauthorized_transfer,lifecycle,semantic,T-Canonical,20,1.0,0.0,0.0,1.0,unauthorized_transfer
F05_unauthorized_transfer,lifecycle,semantic,T-Envelope,20,1.0,0.0,0.0,1.0,unauthorized_transfer
F05_unauthorized_transfer,lifecycle,semantic,T-Local,20,0.0,1.0,0.0,0.0,
F06_source_not_exposed,lifecycle,semantic,G-Complete,20,1.0,0.0,0.0,1.0,source_not_exposed
F06_source_not_exposed,lifecycle,semantic,G-Envelope,20,1.0,0.0,0.0,1.0,source_not_exposed
F06_source_not_exposed,lifecycle,semantic,G-Raw,20,0.0,1.0,0.0,0.0,
F06_source_not_exposed,lifecycle,semantic,T-Canonical,20,1.0,0.0,0.0,1.0,source_not_exposed
F06_source_not_exposed,lifecycle,semantic,T-Envelope,20,1.0,0.0,0.0,1.0,source_not_exposed
F06_source_not_exposed,lifecycle,semantic,T-Local,20,0.0,1.0,0.0,0.0,
F07_identity_fork_replication,lineage,semantic,G-Complete,20,1.0,0.0,0.0,1.0,invalid_first_person_replication
F07_identity_fork_replication,lineage,semantic,G-Envelope,20,1.0,0.0,0.0,1.0,invalid_first_person_replication
F07_identity_fork_replication,lineage,semantic,G-Raw,20,0.0,1.0,0.0,0.0,
F07_identity_fork_replication,lineage,semantic,T-Canonical,20,1.0,0.0,0.0,1.0,invalid_first_person_replication
F07_identity_fork_replication,lineage,semantic,T-Envelope,20,1.0,0.0,0.0,1.0,invalid_first_person_replication
F07_identity_fork_replication,lineage,semantic,T-Local,20,0.0,1.0,0.0,0.0,
F08_adoption_without_exposure,lifecycle,semantic,G-Complete,20,1.0,0.0,0.0,1.0,adoption_without_exposure
F08_adoption_without_exposure,lifecycle,semantic,G-Envelope,20,1.0,0.0,0.0,1.0,adoption_without_exposure
F08_adoption_without_exposure,lifecycle,semantic,G-Raw,20,0.0,1.0,0.0,0.0,
F08_adoption_without_exposure,lifecycle,semantic,T-Canonical,20,1.0,0.0,0.0,1.0,adoption_without_exposure
F08_adoption_without_exposure,lifecycle,semantic,T-Envelope,20,1.0,0.0,0.0,1.0,adoption_without_exposure
F08_adoption_without_exposure,lifecycle,semantic,T-Local,20,0.0,1.0,0.0,0.0,
F09_snapshot_post_cutoff,snapshot,semantic,G-Complete,20,1.0,0.0,0.0,1.0,snapshot_post_cutoff_entry|snapshot_source_lacks_entry
F09_snapshot_post_cutoff,snapshot,semantic,G-Envelope,20,1.0,0.0,0.0,1.0,snapshot_post_cutoff_entry|snapshot_source_lacks_entry
F09_snapshot_post_cutoff,snapshot,semantic,G-Raw,20,0.0,1.0,0.0,0.0,
F09_snapshot_post_cutoff,snapshot,semantic,T-Canonical,20,1.0,0.0,0.0,1.0,snapshot_post_cutoff_entry|snapshot_source_lacks_entry
F09_snapshot_post_cutoff,snapshot,semantic,T-Envelope,20,1.0,0.0,0.0,1.0,snapshot_post_cutoff_entry|snapshot_source_lacks_entry
F09_snapshot_post_cutoff,snapshot,semantic,T-Local,20,0.0,1.0,0.0,0.0,
F10_same_time_policy_conflict,policy,semantic,G-Complete,20,1.0,0.0,0.0,1.0,ambiguous_same_time_policy
F10_same_time_policy_conflict,policy,semantic,G-Envelope,20,1.0,0.0,0.0,1.0,ambiguous_same_time_policy
F10_same_time_policy_conflict,policy,semantic,G-Raw,20,0.0,1.0,0.0,0.0,
F10_same_time_policy_conflict,policy,semantic,T-Canonical,20,1.0,0.0,0.0,1.0,ambiguous_same_time_policy
F10_same_time_policy_conflict,policy,semantic,T-Envelope,20,1.0,0.0,0.0,1.0,ambiguous_same_time_policy
F10_same_time_policy_conflict,policy,semantic,T-Local,20,0.0,1.0,0.0,0.0,
F11_policy_laundering,provenance_policy,semantic,G-Complete,20,1.0,0.0,0.0,1.0,policy_laundering
F11_policy_laundering,provenance_policy,semantic,G-Envelope,20,1.0,0.0,0.0,1.0,policy_laundering
