case_id,family,implementation,clean_control,identifiable,journal_commitment_mismatch,projection_head_mismatch,projection_content_mismatch,detected,pre_repair_correct,silent_incorrect_use,repair_attempted,repair_success,residue_after_repair,metrics_before_repair,metrics_after_repair,notes,repair_cost
P01,crash_after_revoke_before_projection,G_generic_physical_v0.3,False,True,False,True,True,True,False,False,True,True,0,"{""events_reprocessed"": 10, ""journal_appends"": 11, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}","{""events_reprocessed"": 21, ""journal_appends"": 11, ""projection_rebuilds"": 2, ""projection_rows_written"": 4, ""query_recomputations"": 4}",Journal contains revoke; projection remains at the pre-revoke head.,"{""events_reprocessed"": 11, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}"
P01,crash_after_revoke_before_projection,T_typed_physical_v0.3,False,True,False,True,True,True,False,False,True,True,0,"{""events_reprocessed"": 10, ""journal_appends"": 11, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}","{""events_reprocessed"": 21, ""journal_appends"": 11, ""projection_rebuilds"": 2, ""projection_rows_written"": 4, ""query_recomputations"": 4}",Journal contains revoke; projection remains at the pre-revoke head.,"{""events_reprocessed"": 11, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}"
P02,crash_after_self_seal_before_projection,G_generic_physical_v0.3,False,True,False,True,True,True,False,False,True,True,0,"{""events_reprocessed"": 11, ""journal_appends"": 13, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}","{""events_reprocessed"": 24, ""journal_appends"": 13, ""projection_rebuilds"": 2, ""projection_rows_written"": 4, ""query_recomputations"": 4}",,"{""events_reprocessed"": 13, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}"
P02,crash_after_self_seal_before_projection,T_typed_physical_v0.3,False,True,False,True,True,True,False,False,True,True,0,"{""events_reprocessed"": 11, ""journal_appends"": 13, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}","{""events_reprocessed"": 24, ""journal_appends"": 13, ""projection_rebuilds"": 2, ""projection_rows_written"": 4, ""query_recomputations"": 4}",,"{""events_reprocessed"": 13, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}"
P03,restore_lineage_missing_from_projection,G_generic_physical_v0.3,False,True,False,True,True,True,False,False,True,True,0,"{""events_reprocessed"": 16, ""journal_appends"": 17, ""projection_rebuilds"": 1, ""projection_rows_written"": 4, ""query_recomputations"": 4}","{""events_reprocessed"": 33, ""journal_appends"": 17, ""projection_rebuilds"": 2, ""projection_rows_written"": 8, ""query_recomputations"": 8}",,"{""events_reprocessed"": 17, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 4, ""query_recomputations"": 4}"
P03,restore_lineage_missing_from_projection,T_typed_physical_v0.3,False,True,False,True,True,True,False,False,True,True,0,"{""events_reprocessed"": 16, ""journal_appends"": 17, ""projection_rebuilds"": 1, ""projection_rows_written"": 4, ""query_recomputations"": 4}","{""events_reprocessed"": 33, ""journal_appends"": 17, ""projection_rebuilds"": 2, ""projection_rows_written"": 8, ""query_recomputations"": 8}",,"{""events_reprocessed"": 17, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 4, ""query_recomputations"": 4}"
P04,authorized_replication_missing_from_projection,G_generic_physical_v0.3,False,True,False,True,True,True,False,False,True,True,0,"{""events_reprocessed"": 17, ""journal_appends"": 18, ""projection_rebuilds"": 1, ""projection_rows_written"": 3, ""query_recomputations"": 3}","{""events_reprocessed"": 35, ""journal_appends"": 18, ""projection_rebuilds"": 2, ""projection_rows_written"": 6, ""query_recomputations"": 6}",,"{""events_reprocessed"": 18, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 3, ""query_recomputations"": 3}"
P04,authorized_replication_missing_from_projection,T_typed_physical_v0.3,False,True,False,True,True,True,False,False,True,True,0,"{""events_reprocessed"": 17, ""journal_appends"": 18, ""projection_rebuilds"": 1, ""projection_rows_written"": 3, ""query_recomputations"": 3}","{""events_reprocessed"": 35, ""journal_appends"": 18, ""projection_rebuilds"": 2, ""projection_rows_written"": 6, ""query_recomputations"": 6}",,"{""events_reprocessed"": 18, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 3, ""query_recomputations"": 3}"
P05,revoked_private_support_remains_in_projection,G_generic_physical_v0.3,False,True,False,True,True,True,False,False,True,True,0,"{""events_reprocessed"": 13, ""journal_appends"": 14, ""projection_rebuilds"": 1, ""projection_rows_written"": 1, ""query_recomputations"": 1}","{""events_reprocessed"": 27, ""journal_appends"": 14, ""projection_rebuilds"": 2, ""projection_rows_written"": 2, ""query_recomputations"": 2}",,"{""events_reprocessed"": 14, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 1, ""query_recomputations"": 1}"
P05,revoked_private_support_remains_in_projection,T_typed_physical_v0.3,False,True,False,True,True,True,False,False,True,True,0,"{""events_reprocessed"": 13, ""journal_appends"": 14, ""projection_rebuilds"": 1, ""projection_rows_written"": 1, ""query_recomputations"": 1}","{""events_reprocessed"": 27, ""journal_appends"": 14, ""projection_rebuilds"": 2, ""projection_rows_written"": 2, ""query_recomputations"": 2}",,"{""events_reprocessed"": 14, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 1, ""query_recomputations"": 1}"
